mukey,areasymbol,musym,muname,compname,comppct_r,hydgrp,drainagecl,floodfreq,pondfreq,ksat_um_s,ksat_in_hr,awc,aashto,uscs,reskind,resdept_ft,wtdepannmin_ft,eng_roads,eng_shallow_excav,eng_dwellings,eng_sand_source
1603364,DE005,AbC,"Acquango-Beaches complex, 0 to 10 percent slopes",Acquango,50,A,Excessively drained,Occasional,0,600,85.0392,0.05,A-3,SP-SM,,,0.4,Very limited,Very limited,Very limited,Good
1603365,DE005,AsA,"Askecksy loamy sand, 0 to 2 percent slopes",Askecksy,45,A/D,Poorly drained,None,90,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
1603366,DE005,AuB,"Acquango-Urban land complex, 0 to 5 percent slopes",Acquango,45,,Excessively drained,Occasional,0,600,85.0392,0.05,A-3,SP-SM,,,,Not rated,Not rated,Not rated,Not rated
1603369,DE005,BhA,"Berryland mucky loamy sand, 0 to 2 percent slopes",Berryland,50,A/D,Very poorly drained,None,85,92,13.0393,0.12,A-2,SM,,,0.2,Very limited,Very limited,Very limited,Fair
1603372,DE005,BuA,"Brockatonorton-Urban land complex, 0 to 2 percent slopes",Brockatonorton,45,,Moderately well drained,Occasional,0,92,13.0393,0.05,A-3,SP-SM,,,2.5,Not rated,Not rated,Not rated,Not rated
1603373,DE005,CaA,"Carmichael loam, 0 to 2 percent slopes",Carmichael,45,C/D,Poorly drained,None,90,5.64,0.7994,0.22,A-4,ML,,,0.4,Very limited,Very limited,Very limited,Fair
1603374,DE005,CdB,"Cedartown loamy sand, 0 to 5 percent slopes",Cedartown,75,A,Somewhat excessively drained,None,0,45,6.3779,0.1,A-2-4,SM,,,3.7,Not limited,Very limited,Not limited,Fair
1603377,DE005,CoA,"Corsica mucky loam, 0 to 2 percent slopes",Corsica,55,B/D,Very poorly drained,None,95,600,85.0392,0.5,A-8,PT,,,0.2,Very limited,Very limited,Very limited,Poor
1603378,DE005,DnA,"Downer loamy sand, 0 to 2 percent slopes",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603379,DE005,DndB,"Downer loamy sand, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603380,DE005,DnC,"Downer loamy sand, 5 to 10 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603381,DE005,DoA,"Downer sandy loam, 0 to 2 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603382,DE005,DodB,"Downer sandy loam, 2 to 5 percent slopes, Northern Tidewater Area",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-2-4,SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603383,DE005,DoC,"Downer sandy loam, 5 to 10 percent slopes",Downer,80,A,Well drained,None,0,91.74,13.0025,0.07,A-4,SC-SM,,,,Somewhat limited,Very limited,Not limited,Fair
1603384,DE005,DuB,"Downer-Urban land complex, 0 to 5 percent slopes",Downer,60,A,Well drained,None,0,28,3.9685,0.12,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603391,DE005,EvB,"Evesboro loamy sand, 0 to 5 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Not limited,Very limited,Not limited,Fair
1603393,DE005,EvD,"Evesboro loamy sand, 5 to 15 percent slopes",Evesboro,75,A,Excessively drained,None,0,92,13.0393,0.1,A-2-4,SM,,,,Somewhat limited,Very limited,Somewhat limited,Fair
1603395,DE005,FadA,"Fallsington sandy loams, 0 to 2 percent slopes, Northern Tidewater Area",Fallsington,48,B/D,Poorly drained,None,83,600,85.0392,0.45,A-8,PT,,,0.4,Very limited,Very limited,Very limited,Fair
